dam_lev_similarity,dam_lev_res_similarity,pref_len,suf_len
0.6666666,0.6666666,2,3
1.0,1.0,2,2
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
0.6,0.6,2,5
0.4285714,0.4285714,2,7
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
0.8,0.8,2,5
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
0.6,0.6,2,5
0.75,0.75,2,4
1.0,1.0,2,2
0.75,0.75,2,4
1.0,1.0,2,3
0.75,0.75,2,4
0.75,0.75,2,4
0.75,0.75,2,4
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
0.75,0.75,2,4
0.6,0.6,2,5
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
0.75,0.75,2,4
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
0.75,0.75,2,4
0.8,0.8,2,5
0.75,0.75,2,4
1.0,1.0,2,3
0.5,0.5,2,6
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
0.5,0.5,2,6
1.0,1.0,2,3
1.0,1.0,2,2
0.75,0.75,2,4
0.75,0.75,2,4
1.0,1.0,2,2
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,2
0.5,0.5,2,6
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,3
0.75,0.75,2,4
0.75,0.75,2,4
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
0.6,0.6,2,5
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
0.3333333,0.3333333,2,3
0.75,0.75,2,4
1.0,1.0,2,4
1.0,1.0,2,3
0.6,0.6,2,5
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
0.75,0.75,2,4
0.75,0.75,2,4
1.0,1.0,2,3
0.75,0.75,2,4
0.6,0.6,2,5
0.75,0.75,2,4
0.75,0.75,2,4
0.6,0.6,2,5
0.75,0.75,2,4
0.6,0.6,2,5
0.6666666,0.6666666,2,3
1.0,1.0,2,3
1.0,1.0,2,3
0.75,0.75,2,4
1.0,1.0,2,4
0.75,0.75,2,4
0.75,0.75,2,4
0.75,0.75,2,4
