dam_lev_similarity,dam_lev_res_similarity,pref_len,suf_len
0.7,0.7,4,10
0.7,0.7,4,10
0.6666666,0.6666666,4,15
0.75,0.75,4,12
0.7,0.7,4,10
0.7,0.7,4,10
0.7,0.7,4,10
0.7692308,0.7692308,4,13
0.7,0.7,4,10
0.6363636,0.6363636,4,11
0.75,0.75,4,12
0.72727275,0.72727275,4,11
0.7,0.7,4,10
0.6363636,0.6363636,4,11
0.6,0.7,4,10
0.7,0.7,4,10
0.7,0.7,4,10
0.5833334,0.5833334,4,12
0.5833334,0.5833334,4,12
0.7,0.7,4,10
0.7,0.7,4,10
0.75,0.75,4,12
0.7,0.7,4,10
0.6363636,0.6363636,4,11
0.75,0.75,4,12
0.7,0.7,4,10
0.75,0.75,4,12
0.7,0.7,4,10
0.75,0.75,4,12
0.7,0.7,4,10
0.75,0.75,4,12
0.7,0.7,4,10
0.75,0.75,4,12
0.7,0.7,4,10
0.75,0.75,4,12
0.7,0.7,4,10
0.4285714,0.5,4,14
0.75,0.75,4,12
0.75,0.75,4,12
0.6363636,0.6363636,4,11
0.7,0.7,4,10
0.6666666,0.75,4,12
0.7,0.7,4,10
0.7,0.7,4,10
0.7,0.7,4,10
0.5833334,0.5833334,4,12
0.7,0.7,4,10
0.75,0.75,4,12
